"Date","SPY.Open","SPY.High","SPY.Low","SPY.Close","SPY.Volume","SPY.Adjusted","SPY.Open.1","SPY.High.1","SPY.Low.1","SPY.Close.1","SPY.Volume.1","SPY.Adjusted.1","SPY.Open.2","SPY.High.2","SPY.Low.2","SPY.Close.2","SPY.Volume.2","SPY.Adjusted.2","SPY.Open.3","SPY.High.3","SPY.Low.3","SPY.Close.3","SPY.Volume.3","SPY.Adjusted.3"
"2011-05-06",2011-05-06,137.07,137.18,133.02,134.2,897019400,126.59,5.63,3.90000000000001,1.72,1.08999999999997,238652000,1.57000000000001,3.63999999999999,3.18000000000001,0.710000000000008,1.33999999999997,236195400,1.26000000000001,3.38999999999999,0.610000000000014,-0.179999999999978,-2.23000000000002,301746100,-2.10999999999999
"2011-05-13",2011-05-13,134.19,136.11,133.39,134.04,751471200,126.44,1.16,1.42000000000002,1.06999999999999,-0.490000000000009,160208700,0.0799999999999983,1.19,2.66000000000003,3.11999999999998,2,-24387700,1.88,-2.88,-1.06999999999999,0.369999999999976,-0.159999999999997,-145548200,-0.150000000000006
"2011-05-20",2011-05-20,133.56,135.03,132.12,133.61,771663900,126.04,0.439999999999998,0.469999999999999,2.42000000000002,1.28,-91154800,1.75,2.97,1.19,2.61000000000001,-0.169999999999987,144576600,-0.159999999999997,-0.629999999999995,-1.08000000000001,-1.26999999999998,-0.429999999999978,20192700,-0.399999999999991
"2011-05-27",2011-05-27,131.98,133.87,131.38,133.51,752721600,125.94,-0.840000000000003,0.180000000000007,1.03,1.03999999999999,-301389200,1.52,-1.70000000000002,-2.69999999999999,-1.81999999999999,-2.92000000000002,157448300,-2.75999999999999,-1.58000000000001,-1.16,-0.740000000000009,-0.100000000000023,-18942300,-0.100000000000009
"2011-06-03",2011-06-03,134.77,134.92,130.08,130.42,832982500,123.03,1.91,1.75999999999999,0.590000000000003,-0.420000000000016,-239142500,0.140000000000001,-2.29999999999998,-2.26000000000002,-2.94,-3.78,-64036900,-3.56,2.79000000000002,1.04999999999998,-1.29999999999998,-3.09,80260900,-2.91
"2011-06-10",2011-06-10,130.09,130.36,127.26,127.6,939901900,120.37,0.0999999999999943,-0.119999999999976,1.98,-0.160000000000011,-608067000,-0.149999999999991,-4.09999999999999,-5.75,-6.12999999999998,-6.44,188430700,-6.06999999999999,-4.68000000000001,-4.55999999999997,-2.82000000000001,-2.81999999999999,106919400,-2.66
"2011-06-17",2011-06-17,127.89,129.77,126.32,127.05,1210445900,120.44,-1.45999999999999,-2.09999999999999,-2,-4.25000000000001,463539000,-3.42,-5.67,-5.25999999999999,-5.80000000000001,-6.56000000000002,438782000,-5.60000000000001,-2.2,-0.590000000000003,-0.940000000000012,-0.549999999999997,270544000,0.0699999999999932
"2011-06-24",2011-06-24,126.62,129.81,126.19,126.81,1089755100,120.22,-4.96000000000001,-3.96000000000001,-4.25,-6.34,427971700,-5.38,-5.35999999999999,-4.06,-5.19,-6.69999999999999,337033500,-5.72,-1.27,0.039999999999992,-0.129999999999995,-0.239999999999995,-120690800,-0.219999999999999
"2011-07-01",2011-07-01,126.89,134.1,126.64,133.92,1004638800,126.96,-6.54000000000001,0.0999999999999943,-5.67,1.05999999999997,343814800,1.63,-7.88000000000001,-0.819999999999993,-3.44000000000001,3.5,171656300,3.92999999999999,0.269999999999996,4.28999999999999,0.450000000000003,7.10999999999999,-85116300,6.73999999999999
"2011-07-08",2011-07-08,133.78,135.7,133.11,134.4,673903300,127.41,0.780000000000001,2.25,2.84,2.36000000000001,-101955600,2.84999999999999,3.69,5.33999999999997,5.85000000000001,6.80000000000001,-265998600,7.03999999999999,6.89,1.59999999999999,6.47000000000001,0.480000000000018,-330735500,0.450000000000003
"2011-07-15",2011-07-15,132.75,133.22,130.68,131.69,1060781500,124.84,2.16,-0.620000000000005,1.17000000000002,-2.09,433694200,-1.36,4.86,3.44999999999999,4.36000000000001,4.64,-149664400,4.40000000000001,-1.03,-2.47999999999999,-2.43000000000001,-2.71000000000001,386878200,-2.56999999999999
"2011-07-22",2011-07-22,131.08,134.82,129.63,134.58,871838100,127.58,-2.59999999999999,-1.75,-3.56999999999999,-1.84999999999999,276564800,-1.11999999999999,4.46000000000001,5.00999999999999,3.44,7.77000000000001,-217917000,7.36,-1.66999999999999,1.59999999999999,-1.05000000000001,2.89000000000001,-188943400,2.73999999999999
"2011-07-29",2011-07-29,133.3,134.49,127.97,129.33,1031930400,122.6,-3.76999999999998,-2.69,-5.05000000000001,-4.86999999999998,134911000,-3.99000000000001,6.41000000000001,0.390000000000015,1.33,-4.58999999999997,27291600,-4.36,2.22,-0.329999999999984,-1.66,-5.25,160092300,-4.98
"2011-08-05",2011-08-05,130.84,130.96,116.86,120.08,2219616500,113.84,-3.34999999999999,-5.15000000000001,-16.53,-13.96,1468145300,-12.6,-2.94,-4.73999999999998,-16.25,-14.32,1545713200,-13.57,-2.46000000000001,-3.53,-11.11,-9.25000000000001,1187686100,-8.75999999999999
"2011-08-12",2011-08-12,116.91,120.12,110.27,118.12,2884411300,111.98,-16.65,-14.91,-21.85,-15.49,2112747400,-14.06,-15.84,-13.1,-20.41,-13.57,1823629800,-12.86,-13.93,-10.84,-6.59,-1.95999999999999,664794800,-1.86
"2011-08-19",2011-08-19,119.19,121.2,112.5,112.64,1732344500,106.78,-12.79,-12.67,-18.88,-20.87,979622900,-19.16,-11.89,-13.62,-17.13,-21.94,860506400,-20.8,2.28,1.08,2.23,-5.48,-1152066800,-5.2
"2011-08-26",2011-08-26,115.17,119.4,112.41,117.97,1479958200,111.83,-19.6,-15.52,-17.67,-12.45,646975700,-11.2,-18.13,-15.09,-15.56,-11.36,448027800,-10.77,-4.02,-1.8,-0.0900000000000034,5.33,-252386300,5.05
"2011-09-02",2011-09-02,119.56,123.51,117.43,117.85,1244224400,111.72,-10.53,-6.85000000000001,-9.83,-9.75,304322500,-8.65000000000001,-11.28,-7.45,0.570000000000007,-2.23,-975392100,-2.12,4.39,4.11,5.02000000000001,-0.120000000000005,-235733800,-0.109999999999999
"2011-09-09",2011-09-09,114.39,120.94,114.38,115.92,1125697000,109.89,-13.5,-8.83000000000001,-11.94,-11.13,-84748900,-10.55,-2.52,0.819999999999993,4.11,-2.2,-1758714300,-2.09,-5.17,-2.57000000000001,-3.05000000000001,-1.92999999999999,-118527400,-1.83
"2011-09-16",2011-09-16,114.47,121.97,114.05,121.52,1509003200,115.8,-12.15,-7.84,-12.14,-5.29000000000001,419248100,-4.42,-4.72,0.769999999999996,1.55,8.88,-223341300,9.02,0.0799999999999983,1.03,-0.329999999999998,5.59999999999999,383306200,5.91
"2011-09-23",2011-09-23,119.53,121.99,111.3,113.54,1597854300,108.19,-7.36,-12.11,-15.34,-20.38,593215500,-18.77,4.36,2.58999999999999,-1.11,-4.42999999999999,117896100,-3.64,5.06,0.019999999999996,-2.75,-7.97999999999999,88851100,-7.61
"2011-09-30",2011-09-30,114.61,119.56,112.98,113.15,1445625600,107.82,-19.17,-16.14,-20.13,-21.25,771722300,-19.59,-4.95,-3.95,-4.45,-4.69999999999999,201401200,-3.90000000000001,-4.92,-2.42999999999999,1.68000000000001,-0.390000000000001,-152228700,-0.370000000000005
"2011-10-07",2011-10-07,112.49,117.25,107.43,115.71,1678881000,110.26,-20.26,-15.97,-23.25,-15.98,618099500,-14.58,-1.90000000000001,-3.69,-6.94999999999999,-0.210000000000008,553184000,0.370000000000005,-2.12,-2.31,-5.55,2.55999999999999,233255400,2.44000000000001
"2011-10-14",2011-10-14,117.68,122.6,117.67,122.57,1144856400,116.8,-13.4,-12.22,-11.96,-12.01,273018300,-10.78,3.21000000000001,0.629999999999995,3.62,1.05,-364146800,1,5.19000000000001,5.34999999999999,10.24,6.86,-534024600,6.53999999999999
"2011-10-21",2011-10-21,121.99,124.12,119.2,123.97,1288845800,118.13,-11.31,-10.37,-8.77,-5.36000000000001,256915400,-4.47,2.45999999999999,2.13000000000001,7.90000000000001,10.43,-309008500,9.94,4.30999999999999,1.52000000000001,1.53,1.40000000000001,143989400,1.33
"2011-10-28",2011-10-28,124.17,129.42,122.21,128.6,1379992900,122.54,-6.67,-1.54000000000002,5.34999999999999,8.52,-839623600,8.7,9.56,9.85999999999999,9.22999999999999,15.45,-65632700,14.72,2.18000000000001,5.29999999999998,3.00999999999999,4.63,91147100,4.41000000000001
"2011-11-04",2011-11-04,127.16,128.62,121.52,125.48,1430818300,119.57,10.25,8.5,11.25,7.36,-1453593000,7.58999999999999,14.67,11.37,14.09,9.77000000000001,-248062700,9.30999999999999,2.98999999999999,-0.799999999999983,-0.689999999999998,-3.11999999999999,50825400,-2.97000000000001
"2011-11-11",2011-11-11,125.39,128.02,122.86,126.66,1180816400,120.69,6.2,6.82000000000001,10.36,14.02,-551528100,13.91,7.70999999999999,5.42000000000002,5.19,4.09,35960000,3.89,-1.77,-0.599999999999994,1.34,1.17999999999999,-250001900,1.12
"2011-11-18",2011-11-18,126.19,127.45,121.23,121.98,1126550200,116.23,11.02,8.05,8.82000000000001,4.01000000000001,-353408000,4.40000000000001,4.2,3.33,2.03,-1.98999999999999,-162295600,-1.89999999999999,0.799999999999997,-0.570000000000007,-1.63,-4.67999999999999,-54266200,-4.45999999999999
"2011-11-25",2011-11-25,120.2,120.35,116.2,116.34,769992600,110.86,0.640000000000001,-3.16000000000001,-1.23,-1.50999999999999,-474231800,-0.859999999999999,-3.97,-9.06999999999999,-6.00999999999999,-12.26,-610000300,-11.68,-5.98999999999999,-7.10000000000001,-5.03,-5.64,-356557600,-5.37
"2011-12-02",2011-12-02,119.54,126.5,118.82,124.86,1132431500,118.98,5.15000000000001,5.56,4.44,8.94,6734500,9.09,-7.61999999999999,-2.12,-2.7,-0.620000000000005,-298386800,-0.589999999999989,-0.659999999999997,6.15000000000001,2.61999999999999,8.52,362438900,8.12
"2011-12-09",2011-12-09,126.84,127.26,123.65,126.05,1091882700,120.11,12.37,5.29000000000001,9.60000000000001,4.53,-417120500,4.31,1.45,-0.760000000000005,0.790000000000006,-0.609999999999999,-88933700,-0.579999999999998,7.3,0.760000000000005,4.83000000000001,1.19,-40548800,1.13
"2011-12-16",2011-12-16,124.95,125.57,121.3,121.59,1119195300,116.6,5.42,3.58,10,8.05,-478659000,8.41,-1.23999999999999,-1.88000000000001,0.0699999999999932,-0.390000000000001,-7354900,0.36999999999999,-1.89,-1.69000000000001,-2.35000000000001,-4.45999999999999,27312600,-3.51000000000001
"2011-12-23",2011-12-23,122.06,126.43,120.03,126.39,815204600,121.2,7.45,6.87,7.05,13.24,-630421000,13.38,1.86,6.08000000000001,3.83,10.05,45212000,10.34,-2.89,0.860000000000014,-1.27,4.8,-303990700,4.60000000000001
